Date,Sumber,ID,Nilai,Keterangan,Total
2022-12-09 20:17:56,tokped,INV/20221115/MPL/2822491240,17500,Pengembalian dana atas ongkir pengganti INV/20221115/MPL/2822491240,
2022-12-09 17:47:53,tokped,INV/20221115/MPL/2822491240,-10000,Pemotongan Biaya Layanan Bebas Ongkir Power Merchant Pro - INV/20221115/MPL/2822491240,
2022-12-09 17:47:53,tokped,INV/20221115/MPL/2822491240,-13500,Pemotongan Biaya Layanan Power Merchant Pro - INV/20221115/MPL/2822491240,
2022-12-09 17:47:53,tokped,INV/20221115/MPL/2822491240,450000,Transaksi Penjualan Berhasil - INV/20221115/MPL/2822491240,
2022-12-30 4:21:00,shopee,221224FUGQ1R6A,391050,Penghasilan dari Pesanan #221224FUGQ1R6A,
2022-12-26 3:13:00,shopee,221215PXWQCJ63,172800,Penghasilan dari Pesanan #221215PXWQCJ63,
2022-12-24 16:13:00,shopee,2212072V315FPY,320100,Penghasilan dari Pesanan #2212072V315FPY,
2022-12-22 9:03:00,shopee,,-100000,Isi Ulang Saldo Iklan/Koin Penjual,
2022-12-12 5:59:00,shopee,,-100000,Isi Ulang Saldo Iklan/Koin Penjual,
2022-12-08 23:14:00,shopee,221203PDWFFWVA,67900,Penghasilan dari Pesanan #221203PDWFFWVA,
2022-12-07 2:17:00,shopee,221122QY45MXV0,92150,Penghasilan dari Pesanan #221122QY45MXV0,
2022-12-05 11:14:00,shopee,221123SMBB5PPC,305000,Penghasilan dari Pesanan #221123SMBB5PPC,
