Date,Sumber,ID,Nilai,Keterangan
2022-11-28 14:38:05,tokped,INV/20221120/MPL/2833923300,-7500,Pemotongan Biaya Layanan Bebas Ongkir Power Merchant Pro - INV/20221120/MPL/2833923300
2022-11-28 14:38:05,tokped,INV/20221120/MPL/2833923300,-9000,Pemotongan Biaya Layanan Power Merchant Pro - INV/20221120/MPL/2833923300
2022-11-28 14:38:05,tokped,INV/20221120/MPL/2833923300,300000,Transaksi Penjualan Berhasil - INV/20221120/MPL/2833923300
2022-11-28 12:28:21,tokped,,-300000,Penggunaan Saldo Tokopedia untuk pembelian dari Tokopedia Ads. [ID Transaksi: 3483881248]
2022-11-27 21:08:03,tokped,INV/20221121/MPL/2835652090,-23250,Pemotongan Biaya Layanan Power Merchant Pro - INV/20221121/MPL/2835652090
2022-11-27 21:08:03,tokped,INV/20221121/MPL/2835652090,775000,Transaksi Penjualan Berhasil - INV/20221121/MPL/2835652090
2022-11-25 15:02:12,tokped,INV/20221108/MPL/2802117598,-10000,Pemotongan Biaya Layanan Bebas Ongkir Power Merchant Pro - INV/20221108/MPL/2802117598
2022-11-25 15:02:12,tokped,INV/20221108/MPL/2802117598,-27000,Pemotongan Biaya Layanan Power Merchant Pro - INV/20221108/MPL/2802117598
2022-11-25 15:02:12,tokped,INV/20221108/MPL/2802117598,900000,Transaksi Penjualan Berhasil - INV/20221108/MPL/2802117598
2022-11-24 10:46:21,tokped,INV/20221120/MPL/2834098962,-10800,Pemotongan Biaya Layanan Power Merchant Pro - INV/20221120/MPL/2834098962
2022-11-24 10:46:21,tokped,INV/20221120/MPL/2834098962,360000,Transaksi Penjualan Berhasil - INV/20221120/MPL/2834098962
2022-11-23 5:49:31,tokped,INV/20221115/MPL/2822043211,-11250,Pemotongan Biaya Layanan Power Merchant Pro - INV/20221115/MPL/2822043211
2022-11-23 5:49:31,tokped,INV/20221115/MPL/2822043211,375000,Transaksi Penjualan Berhasil - INV/20221115/MPL/2822043211
2022-11-22 17:13:39,tokped,,3800,Cashback atas pengiriman cashless J&T  October 2022 | Total Ongkos Kirim Rp19000
2022-11-22 13:40:08,tokped,,3027,Cashback atas pengiriman cashless JNE Cashless YES Oct 2022 | Total Ongkos Kirim Rp 104000
2022-11-22 13:08:08,tokped,INV/20221109/MPL/2804568884,-10000,Pemotongan Biaya Layanan Bebas Ongkir Power Merchant Pro - INV/20221109/MPL/2804568884
2022-11-22 13:08:07,tokped,INV/20221109/MPL/2804568884,-27000,Pemotongan Biaya Layanan Power Merchant Pro - INV/20221109/MPL/2804568884
2022-11-22 13:08:07,tokped,INV/20221109/MPL/2804568884,900000,Transaksi Penjualan Berhasil - INV/20221109/MPL/2804568884
2022-11-22 5:51:32,tokped,INV/20221117/MPL/2827574383,-47700,Pemotongan Biaya Layanan Power Merchant Pro - INV/20221117/MPL/2827574383
2022-11-22 5:51:32,tokped,INV/20221117/MPL/2827574383,1590000,Transaksi Penjualan Berhasil - INV/20221117/MPL/2827574383
2022-11-20 23:42:28,tokped,INV/20221112/MPL/2815057114,-5400,Pemotongan Biaya Layanan Power Merchant Pro - INV/20221112/MPL/2815057114
2022-11-20 23:42:28,tokped,INV/20221112/MPL/2815057114,180000,Transaksi Penjualan Berhasil - INV/20221112/MPL/2815057114
2022-11-06 17:29:09,tokped,INV/20221030/MPL/2777638619,-4500,Pemotongan Biaya Layanan Bebas Ongkir Power Merchant Pro - INV/20221030/MPL/2777638619
2022-11-06 17:29:09,tokped,INV/20221030/MPL/2777638619,-9000,Pemotongan Biaya Layanan Power Merchant Pro - INV/20221030/MPL/2777638619
2022-11-06 17:29:09,tokped,INV/20221030/MPL/2777638619,300000,Transaksi Penjualan Berhasil - INV/20221030/MPL/2777638619
