Date,Keterangan,ID,Sumber,Pengeluaran,Pemasukan
2023-11-05 0:00:00,patung tapel barong + patung gurita,INV/20231105/MPL/3547748452,tokped,830000,
2023-11-20 0:00:00,"custom 5kg, level 2, salib ukir",INV/20231120/MPL/3574504155,tokped,626000,
2023-11-21 0:00:00,Patung siwa tanpa cobra,INV/20231121/MPL/3577343220,tokped,1320000,
2023-11-22 0:00:00,patung janger,INV/20231122/MPL/3578084541,tokped,130000,
2023-11-27 0:00:00,hiasan bintang pohon natal,INV/20231127/MPL/3589215607,tokped,160000,
2023-11-30 0:00:00,pandil rama sita 40x20 cm,3108816489,etsy,650000,
2023-11-30 0:00:00,onkos packing bapane,,,30000,
2023-11-30 0:00:00,ongkir J&T,3108816489,,84000,
2023-11-30 0:00:00,Ongkir Kurasi,3108816489,,1004000,
