Date,Keterangan,ID,Sumber,Pengeluaran,Pemasukan
2023-08-03 0:00:00,hiasan dinding omkara 2 30 cm,INV/20230227/MPL/3075583963,tokped,1200000,
2023-08-04 0:00:00,Hanoman kulit kayu & naga botol,INV/20230313/MPL/3108407099,tokped,520000,
2023-08-05 0:00:00,custom order level 9 ( prabu siliwangi),2302045YT9NVCA,shopee,500000,
2023-08-06 0:00:00,logo custom level 1 3 kg matahari majapahit,INV/20230308/MPL/3097160713,tokped,290000,
2023-08-07 0:00:00,custom 1 kg naga pasang,230128GRQJYYFW,shopee,290000,
2023-08-08 0:00:00,Patung tapel barong 20x20x8 cm,INV/20230227/MPL/3076556548,tokped,250000,
2023-08-09 0:00:00,Custom logo level 3 ( coffe cat),INV/20230310/MPL/3100782131,tokped,240000,
2023-08-10 0:00:00,hiasan dinding naga 25 cm,INV/20230312/MPL/3105800588,tokped,240000,
2023-08-11 0:00:00,custom logo tulisan cina 40 cm level 4,INV/20230301/MPL/3081219489,tokped,205000,
2023-08-12 0:00:00,patung barong 15x15 cm,INV/20230321/MPL/3123439681,tokped,200000,
2023-08-13 0:00:00,logo arsenal 30 cm,INV/20230306/MPL/3092810214,tokped,210000,
2023-08-14 0:00:00,patung barong 15x15 cm,INV/20230301/MPL/3079987453,tokped,200000,
2023-08-15 0:00:00,patung barong 15x15 cm,230316JPJTD3VN,shopee,200000,
2023-08-16 0:00:00,hiasan dinding motif bunga 2 30 cm,INV/20230309/MPL/3099541609,tokped,120000,
2023-08-17 0:00:00,lumba lumba couple 20 cm,2303091UNTG45W,shopee,50000,
