Date,Sumber,ID,Nilai,Keterangan
2023-03-01 23:27:51,tokped,INV/20230227/MPL/3076556548,425000,Transaksi Penjualan Berhasil - INV/20230227/MPL/3076556548
2023-03-01 23:27:51,tokped,INV/20230227/MPL/3076556548,-19125,Pemotongan Biaya Layanan Power Merchant Pro - INV/20230227/MPL/3076556548
2023-03-02 0:00:00,etsy,,-337,VAT: auto-renew expired - auto-renew expired: 1304275242
2023-03-02 0:00:00,etsy,,-3064,Listing fee ($0.20 USD) - Listing #1304275242
2023-03-05 12:06:37,tokped,INV/20230301/MPL/3079987453,357000,Transaksi Penjualan Berhasil - INV/20230301/MPL/3079987453
2023-03-05 12:06:37,tokped,INV/20230301/MPL/3079987453,-10000,Pemotongan Biaya Layanan Bebas Ongkir Power Merchant Pro - INV/20230301/MPL/3079987453
2023-03-05 12:06:37,tokped,INV/20230301/MPL/3079987453,-16065,Pemotongan Biaya Layanan Power Merchant Pro - INV/20230301/MPL/3079987453
2023-03-06 11:19:07,tokped,INV/20230227/MPL/3075583963,2040000,Transaksi Penjualan Berhasil - INV/20230227/MPL/3075583963
2023-03-06 11:19:07,tokped,INV/20230227/MPL/3075583963,-91800,Pemotongan Biaya Layanan Power Merchant Pro - INV/20230227/MPL/3075583963
2023-03-06 11:28:27,tokped,,-300000,Penggunaan Saldo Tokopedia untuk pembelian dari Tokopedia Ads. [ID Transaksi: 3730342122]
2023-03-12 13:54:00,shopee,230128GRQJYYFW,474000,Penghasilan dari Pesanan #230128GRQJYYFW
2023-03-12 13:55:00,shopee,2302045YT9NVCA,812800,Penghasilan dari Pesanan #2302045YT9NVCA
2023-03-13 13:01:00,shopee,,-100000,Isi Ulang Saldo Iklan/Koin Penjual
2023-03-15 8:03:57,tokped,INV/20230309/MPL/3099541609,204000,Transaksi Penjualan Berhasil - INV/20230309/MPL/3099541609
2023-03-15 8:03:57,tokped,INV/20230309/MPL/3099541609,-8160,Pemotongan Biaya Layanan Bebas Ongkir Power Merchant Pro - INV/20230309/MPL/3099541609
2023-03-15 8:03:57,tokped,INV/20230309/MPL/3099541609,-9180,Pemotongan Biaya Layanan Power Merchant Pro - INV/20230309/MPL/3099541609
2023-03-15 23:26:00,shopee,2303091UNTG45W,105792,Penghasilan dari Pesanan #2303091UNTG45W
2023-03-16 18:29:11,tokped,INV/20230312/MPL/3105800588,408000,Transaksi Penjualan Berhasil - INV/20230312/MPL/3105800588
2023-03-16 18:29:11,tokped,INV/20230312/MPL/3105800588,-18360,Pemotongan Biaya Layanan Power Merchant Pro - INV/20230312/MPL/3105800588
2023-03-18 9:12:00,shopee,,-36881,Penyesuaian Saldo karena Biaya Komisi Jaringan Influencer shopee | {id} | 259226569202303
2023-03-18 11:56:00,shopee,230316JPJTD3VN,335576,Penghasilan dari Pesanan #230316JPJTD3VN
2023-03-18 18:34:11,tokped,INV/20230301/MPL/3081219489,360000,Transaksi Penjualan Berhasil - INV/20230301/MPL/3081219489
2023-03-18 18:34:11,tokped,INV/20230301/MPL/3081219489,-10000,Pemotongan Biaya Layanan Bebas Ongkir Power Merchant Pro - INV/20230301/MPL/3081219489
2023-03-18 18:34:11,tokped,INV/20230301/MPL/3081219489,-16200,Pemotongan Biaya Layanan Power Merchant Pro - INV/20230301/MPL/3081219489
2023-03-19 23:58:06,tokped,INV/20230306/MPL/3092810214,357000,Transaksi Penjualan Berhasil - INV/20230306/MPL/3092810214
2023-03-19 23:58:06,tokped,INV/20230306/MPL/3092810214,-16065,Pemotongan Biaya Layanan Power Merchant Pro - INV/20230306/MPL/3092810214
2023-03-23 15:05:09,tokped,INV/20230310/MPL/3100782131,420000,Transaksi Penjualan Berhasil - INV/20230310/MPL/3100782131
2023-03-23 15:05:09,tokped,INV/20230310/MPL/3100782131,-10000,Pemotongan Biaya Layanan Bebas Ongkir Power Merchant Pro - INV/20230310/MPL/3100782131
2023-03-23 15:05:09,tokped,INV/20230310/MPL/3100782131,-18900,Pemotongan Biaya Layanan Power Merchant Pro - INV/20230310/MPL/3100782131
2023-03-24 14:37:33,tokped,,486,Cashback atas pengiriman cashless JNE Cashless REG Feb 2023 | Total Ongkos Kirim Rp 16200
