Date,Keterangan,ID,Sumber,Pengeluaran,Pemasukan
2023-02-11 0:00:00,Balinese fish sea life ( pandil),2790201193,etsy,2600000,
2023-02-11 0:00:00,Ongkir kurasi ke cust (jyo),2790201193,,1696000,
2023-02-11 0:00:00,Ongkir ke kurasi,2790201193,,105000,
2023-02-11 0:00:00,patung kayu kanjeng ratu 50x22x10,2301258XX1CHQ0,shopee,2320000,marketplace
2023-02-11 0:00:00,balinese janer jagut 25.5x19x8.5,2795839992,etsy,300000,
2023-02-11 0:00:00,Custom 2 kg level 6 ( Logo K-9),INV/20230201/MPL/3018026440,tokped,380000,
2023-02-11 0:00:00,"custom 2kg, level 4",230121VWWD9P03,shopee,264000,marketplace
2023-02-11 0:00:00,custom 2 kg level 4 hiasan dinding,INV/20230124/MPL/2996897696,tokped,235000,marketplace
2023-02-11 0:00:00,logo MU 30 cm,INV/20230212/MPL/30435712255,tokped,215000,
2023-02-11 0:00:00,custom 1kg level 5,INV/20230131/MPL/3013896047,tokped,230000,
2023-02-11 0:00:00,hiasan dinding ongkara 2 40 cm,INV/20230211/MPL/3041592301,tokped,160000,
2023-02-11 0:00:00,hiasan dinding ongkara 2 40 cm,INV/20230131/MPL/3016023139,tokped,160000,marketplace
2023-02-11 0:00:00,Custom 1 kg lvl 4,INV/20230126/MPL/3003080485,tokped,175000,
2023-02-11 0:00:00,patung naga beer ( PACKING KAYU),2302058ARCYAE9,shopee,179000,
2023-02-11 0:00:00,ukiran bali hiasan dinding bunga 1,2301259M9WAA2Y,shopee,120000,marketplace
