Date,Keterangan,ID,Sumber,Pengeluaran,Pemasukan
2023-04-10 0:00:00,pandil sumpah palapa,INV/20230323/MPL/3127436890,tokped,8000000,
2023-04-14 0:00:00,pandil gajah 30x50,2854546207,etsy,750000,
2023-04-10 0:00:00,Arwana 41 cm,2850875795,etsy,250000,
2023-04-23 0:00:00,patung paus 30 cm,2868574974,etsy,50000,
2023-04-04 0:00:00,janger 22 cm,2845478547,etsy,200000,
2023-04-13 0:00:00,pandil rama sita custom 4 kg level 8,INV/20230413/MPL/3176481370,tokped,760000,
2023-04-10 0:00:00,hiasan dinding motif bunga 3,INV/20230410/MPL/3167525637,tokped,320000,
2023-03-23 0:00:00,2x patung naga botol,INV/20230323/MPL/3127565795,tokped,340000,
2023-03-31 0:00:00,jam dinding kayu simple,INV/20230331/MPL/3145866578,tokped,320000,
2023-03-23 0:00:00,logo custom 2 kg level 4 ( majapahit),INV/20230323/MPL/3127679827,tokped,250000,
2023-04-05 0:00:00,hiasan dinding motif bunga 3,INV/20230405/MPL/3156184262,tokped,160000,
2023-04-27 0:00:00,ongkir JNE ke Kurasi jangger 22 cm,2845478547,,24000,
2023-04-27 0:00:00,ongkir JNE ke kurasi pandil Gajah,2854546207,,144000,
2023-04-30 0:00:00,Ongkir kurasi janger 22 cm,2845478547,,717000,
2023-04-30 0:00:00,Ongkir kurasi Pandil gajah ,2854546207,,1148000,
