Date,Sumber,ID,Nilai,Keterangan
2023-01-23 19:11:16,tokped,INV/20230117/MPL/2983279798,1600000,Transaksi Penjualan Berhasil - INV/20230117/MPL/2983279798
,,,,
2023-01-28 16:00:12,tokped,INV/20230114/MPL/2975779882,1105000,Transaksi Penjualan Berhasil - INV/20230114/MPL/2975779882
2023-01-29 21:56:27,tokped,INV/20230103/MPL/2948144687,900000,Transaksi Penjualan Berhasil - INV/20230103/MPL/2948144687
2023-01-28 8:06:38,tokped,INV/20230125/MPL/2998520615,850000,Transaksi Penjualan Berhasil - INV/20230125/MPL/2998520615
2023-01-23 19:11:25,tokped,INV/20221226/MPL/2928389232,750000,Transaksi Penjualan Berhasil - INV/20221226/MPL/2928389232
2023-01-02 9:45:19,tokped,INV/20221224/MPL/2924244399,450000,Transaksi Penjualan Berhasil - INV/20221224/MPL/2924244399
2023-01-29 18:55:55,tokped,INV/20230116/MPL/2980116039,446000,Transaksi Penjualan Berhasil - INV/20230116/MPL/2980116039
2023-01-23 15:45:58,tokped,INV/20230114/MPL/2975336469,408000,Transaksi Penjualan Berhasil - INV/20230114/MPL/2975336469
2023-01-23 14:03:00,shopee,2301137U95SXHR,375360,Penghasilan dari Pesanan #2301137U95SXHR
2023-01-05 15:57:29,tokped,INV/20221230/MPL/2939094615,360000,Transaksi Penjualan Berhasil - INV/20221230/MPL/2939094615
2023-01-11 16:14:07,tokped,INV/20221231/MPL/2941121666,300000,Transaksi Penjualan Berhasil - INV/20221231/MPL/2941121666
2023-01-25 10:08:00,shopee,230114ASVGWUS2,236840,Penghasilan dari Pesanan #230114ASVGWUS2
2023-01-12 20:12:19,tokped,INV/20230103/MPL/2948566751,153000,Transaksi Penjualan Berhasil - INV/20230103/MPL/2948566751
2023-01-20 15:52:45,tokped,,7421,Cashback atas pengiriman cashless JNE Cashless YES Dec 2022 | Total Ongkos Kirim Rp 255000
2023-01-19 16:10:20,tokped,,3800,Cashback atas pengiriman cashless J&T  Dec 2022 | Total Ongkos Kirim Rp 19000
2023-01-19 16:10:20,etsy,,-249942,Listing Fee Etsy
2023-01-10 0:00:00,etsy,,-3109,Listing fee ($0.20 USD) Listing #1295705631
2023-01-12 20:12:19,tokped,INV/20230103/MPL/2948566751,-6120,Pemotongan Biaya Layanan Bebas Ongkir Power Merchant Pro - INV/20230103/MPL/2948566751
